image_name,left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y
400.jpg,65,37,31,36
401.jpg,64,36,29,34
402.jpg,67,37,29,40
403.jpg,65,38,30,39
404.jpg,67,38,30,35
405.jpg,69,35,29,33
406.jpg,67,38,26,36
407.jpg,66,37,33,35
408.jpg,66,37,29,36
409.jpg,66,39,28,36
410.jpg,67,38,30,35
411.jpg,70,32,31,33
412.jpg,66,37,29,37
413.jpg,67,37,25,39
414.jpg,68,37,27,35
415.jpg,67,38,31,38
416.jpg,64,36,29,36
417.jpg,63,36,31,36
418.jpg,69,37,29,36
419.jpg,64,36,28,35
420.jpg,64,35,30,39
421.jpg,63,36,28,37
422.jpg,66,36,31,36
423.jpg,68,38,28,36
424.jpg,64,34,30,34
425.jpg,68,36,28,34
426.jpg,66,38,30,37
427.jpg,62,35,30,35
428.jpg,63,35,29,36
429.jpg,64,34,30,35
430.jpg,64,34,32,38
431.jpg,68,37,29,36
432.jpg,66,36,29,36
433.jpg,67,37,30,36
434.jpg,65,34,28,35
435.jpg,65,38,31,37
436.jpg,67,37,31,37
437.jpg,67,39,30,36
438.jpg,65,37,32,37
439.jpg,66,36,29,34
440.jpg,65,36,30,35
441.jpg,68,38,30,38
442.jpg,65,36,29,36
443.jpg,67,36,29,36
444.jpg,65,35,29,33
445.jpg,68,35,28,36
446.jpg,67,36,31,40
447.jpg,67,32,29,34
448.jpg,69,37,31,35
449.jpg,63,36,29,36
450.jpg,67,39,29,36
451.jpg,66,37,28,36
452.jpg,66,37,29,35
453.jpg,67,36,31,37
454.jpg,66,38,29,38
455.jpg,66,37,27,40
456.jpg,65,34,29,35
457.jpg,65,36,29,37
458.jpg,68,39,30,37
459.jpg,68,36,28,36
460.jpg,65,34,30,36
461.jpg,68,33,27,33
462.jpg,67,38,30,35
463.jpg,65,35,31,35
464.jpg,65,34,28,32
465.jpg,67,35,28,36
466.jpg,66,32,28,35
467.jpg,63,34,31,32
468.jpg,66,37,29,36
469.jpg,65,35,30,34
470.jpg,64,39,28,38
471.jpg,65,30,28,34
472.jpg,66,36,30,37
473.jpg,64,37,30,36
474.jpg,64,37,29,36
475.jpg,64,37,29,37
476.jpg,64,35,31,37
477.jpg,66,36,30,36
478.jpg,67,33,26,33
479.jpg,62,35,32,37
480.jpg,66,36,28,35
481.jpg,67,40,28,36
482.jpg,66,37,29,37
483.jpg,65,38,28,36
484.jpg,66,36,29,36
485.jpg,64,37,28,39
486.jpg,65,34,30,34
487.jpg,64,37,29,40
488.jpg,65,35,27,36
489.jpg,69,41,28,39
490.jpg,68,35,26,35
491.jpg,69,36,31,36
492.jpg,67,37,29,35
493.jpg,65,34,28,35
494.jpg,64,35,33,33
495.jpg,66,37,29,35
496.jpg,66,36,30,36
497.jpg,65,36,25,36
498.jpg,66,37,28,38
499.jpg,65,41,29,37
500.jpg,66,35,28,36
501.jpg,65,39,29,37
502.jpg,65,35,29,36
503.jpg,66,34,28,35
504.jpg,67,34,31,33
505.jpg,66,36,31,36
506.jpg,63,35,30,39
507.jpg,66,36,32,36
508.jpg,64,33,30,35
509.jpg,66,35,30,35
510.jpg,64,33,28,31
511.jpg,64,38,27,40
512.jpg,68,38,31,38
513.jpg,69,36,25,35
514.jpg,72,37,28,35
515.jpg,69,34,29,35
516.jpg,66,36,29,33
517.jpg,68,37,26,38
518.jpg,65,39,28,38
519.jpg,67,37,27,40
520.jpg,67,37,31,39
521.jpg,68,40,27,36
522.jpg,66,37,29,37
523.jpg,65,36,29,35
524.jpg,67,37,29,38
525.jpg,69,37,29,35
526.jpg,66,36,32,35
527.jpg,66,40,32,38
528.jpg,64,39,29,38
529.jpg,64,33,29,37
530.jpg,65,34,28,35
531.jpg,66,37,26,35
532.jpg,65,39,30,37
533.jpg,65,35,30,35
534.jpg,69,39,30,37
535.jpg,66,36,32,37
536.jpg,64,34,30,34
537.jpg,65,37,24,39
538.jpg,66,41,29,38
539.jpg,65,37,30,39
540.jpg,65,36,28,35
541.jpg,68,37,30,36
542.jpg,66,39,28,37
543.jpg,72,33,25,32
544.jpg,64,38,31,36
545.jpg,66,34,30,35
546.jpg,63,34,29,35
547.jpg,64,35,29,37
548.jpg,67,38,28,37
549.jpg,66,35,33,36
550.jpg,64,37,32,37
551.jpg,70,35,28,34
552.jpg,65,35,30,36
553.jpg,68,36,27,36
554.jpg,66,35,27,35
555.jpg,68,34,30,38
556.jpg,65,36,29,36
557.jpg,65,35,28,37
558.jpg,66,39,30,36
559.jpg,64,37,29,36
560.jpg,64,35,24,34
561.jpg,65,37,29,37
562.jpg,74,31,27,31
563.jpg,63,35,33,36
564.jpg,72,36,29,33
565.jpg,66,36,30,37
566.jpg,66,34,29,34
567.jpg,66,39,27,38
568.jpg,66,33,29,37
569.jpg,68,38,27,38
570.jpg,67,38,30,37
571.jpg,64,36,29,36
572.jpg,66,36,31,36
573.jpg,66,35,29,36
574.jpg,66,35,26,35
575.jpg,66,36,33,36
576.jpg,67,37,30,36
577.jpg,69,36,30,38
578.jpg,65,36,31,35
579.jpg,67,38,28,39
580.jpg,66,36,28,36
581.jpg,64,40,29,37
582.jpg,69,36,31,36
583.jpg,65,36,29,36
584.jpg,67,35,32,35
585.jpg,68,33,29,34
586.jpg,65,37,31,37
587.jpg,66,39,30,38
588.jpg,67,38,28,36
589.jpg,67,35,27,37
590.jpg,64,37,29,37
591.jpg,65,35,29,37
592.jpg,65,37,30,37
593.jpg,65,40,28,37
594.jpg,66,36,30,34
595.jpg,67,38,30,35
596.jpg,68,33,28,34
597.jpg,66,36,29,37
598.jpg,70,36,27,38
599.jpg,67,37,31,37
600.jpg,63,36,31,37
601.jpg,65,38,29,36
602.jpg,66,36,29,37
603.jpg,65,37,31,37
604.jpg,65,37,31,37
605.jpg,72,34,27,33
606.jpg,68,37,26,37
607.jpg,66,38,30,39
608.jpg,66,39,29,39
609.jpg,65,34,30,36
610.jpg,67,41,30,37
611.jpg,65,35,31,38
612.jpg,70,35,29,37
613.jpg,66,38,28,37
614.jpg,65,38,31,37
615.jpg,64,35,31,36
616.jpg,67,38,32,37
617.jpg,65,35,29,36
618.jpg,66,35,30,37
619.jpg,67,36,28,37
620.jpg,68,35,24,41
621.jpg,66,35,32,36
622.jpg,66,34,27,36
623.jpg,65,35,28,35
624.jpg,76,33,27,32
625.jpg,65,35,29,35
626.jpg,64,33,31,32
627.jpg,67,35,30,35
628.jpg,64,36,30,39
629.jpg,67,38,30,37
630.jpg,66,36,32,37
631.jpg,69,36,27,37
632.jpg,67,38,31,36
633.jpg,66,39,30,36
634.jpg,65,37,29,37
635.jpg,66,39,28,36
636.jpg,66,40,30,37
637.jpg,70,35,29,36
638.jpg,64,36,30,39
639.jpg,67,39,29,37
640.jpg,65,35,29,35
641.jpg,68,36,27,35
642.jpg,66,40,28,37
643.jpg,68,36,29,37
644.jpg,69,39,28,36
645.jpg,66,38,29,38
646.jpg,65,39,32,34
647.jpg,66,36,30,34
648.jpg,64,34,30,35
649.jpg,64,34,31,33
650.jpg,69,36,28,35
651.jpg,64,35,31,36
652.jpg,67,35,29,37
653.jpg,64,36,32,35
654.jpg,66,39,28,36
655.jpg,68,36,30,37
656.jpg,66,36,27,39
657.jpg,65,36,31,36
658.jpg,66,38,30,36
659.jpg,65,37,32,36
660.jpg,65,35,31,35
661.jpg,65,33,28,34
662.jpg,65,37,32,37
663.jpg,67,37,30,35
664.jpg,64,41,30,40
665.jpg,68,36,30,34
666.jpg,65,35,30,37
667.jpg,65,39,30,38
668.jpg,66,35,31,36
669.jpg,66,34,28,35
670.jpg,74,34,32,34
671.jpg,65,39,28,37
672.jpg,65,36,31,37
673.jpg,69,39,29,36
674.jpg,69,33,28,36
675.jpg,63,35,27,39
676.jpg,66,37,30,36
677.jpg,67,37,28,37
678.jpg,69,35,28,34
679.jpg,65,38,30,39
680.jpg,65,35,28,34
681.jpg,68,29,31,29
682.jpg,66,38,31,38
683.jpg,67,39,30,38
684.jpg,67,35,27,35
685.jpg,66,38,29,39
686.jpg,66,34,29,35
687.jpg,63,35,31,37
688.jpg,65,33,28,33
689.jpg,67,37,27,35
690.jpg,65,34,29,33
691.jpg,66,34,31,34
692.jpg,66,41,31,37
693.jpg,64,37,25,40
694.jpg,66,40,27,39
695.jpg,66,35,32,36
696.jpg,64,34,28,35
697.jpg,66,38,28,37
698.jpg,65,38,27,36
699.jpg,66,39,30,37
700.jpg,66,36,25,35
701.jpg,66,37,28,38
702.jpg,65,36,30,36
703.jpg,64,39,30,40
704.jpg,65,39,28,37
705.jpg,65,36,31,36
706.jpg,67,38,28,36
707.jpg,71,42,33,33
708.jpg,66,33,28,32
709.jpg,65,38,32,39
710.jpg,67,35,31,37
711.jpg,66,36,29,38
712.jpg,64,34,28,37
713.jpg,68,37,28,36
714.jpg,62,37,30,37
715.jpg,70,37,29,37
716.jpg,66,39,30,38
717.jpg,67,37,28,35
718.jpg,64,35,32,38
719.jpg,66,31,30,34
720.jpg,64,37,31,40
721.jpg,65,36,31,35
722.jpg,64,37,31,40
723.jpg,64,34,30,33
724.jpg,69,39,30,36
725.jpg,65,37,32,37
726.jpg,68,37,28,37
727.jpg,71,37,28,38
728.jpg,66,34,31,36
729.jpg,67,37,29,36
730.jpg,65,37,31,36
731.jpg,64,38,29,37
732.jpg,66,37,29,37
733.jpg,69,38,31,33
734.jpg,64,37,29,37
735.jpg,66,36,29,37
736.jpg,67,37,28,35
737.jpg,64,35,28,36
738.jpg,67,38,28,38
739.jpg,68,36,29,33
740.jpg,66,39,32,37
741.jpg,65,39,28,38
742.jpg,66,36,29,37
743.jpg,65,35,24,35
744.jpg,68,38,27,37
745.jpg,62,36,29,35
746.jpg,74,36,25,35
747.jpg,67,39,29,38
748.jpg,65,37,30,38
749.jpg,64,39,29,38
750.jpg,68,35,30,40
751.jpg,67,38,27,37
752.jpg,64,38,29,35
753.jpg,65,35,28,37
754.jpg,69,39,28,36
755.jpg,65,38,28,36
756.jpg,65,37,28,37
757.jpg,65,38,27,38
758.jpg,65,39,30,38
759.jpg,66,35,32,39
760.jpg,65,35,32,37
761.jpg,67,36,28,38
762.jpg,65,36,31,38
763.jpg,66,35,28,34
764.jpg,63,35,29,33
765.jpg,64,37,28,35
766.jpg,64,34,29,34
767.jpg,69,34,30,36
768.jpg,69,33,29,35
769.jpg,66,36,30,36
770.jpg,65,37,30,37
771.jpg,66,37,28,36
772.jpg,65,36,31,34
773.jpg,68,38,27,36
774.jpg,67,38,32,38
775.jpg,64,38,31,37
776.jpg,65,38,29,38
777.jpg,66,38,31,36
778.jpg,71,32,28,30
779.jpg,64,37,27,40
780.jpg,64,37,30,37
781.jpg,65,42,29,38
782.jpg,65,39,30,36
783.jpg,65,36,29,37
784.jpg,65,38,29,37
785.jpg,66,38,30,35
786.jpg,71,34,29,37
787.jpg,65,36,31,35
788.jpg,66,36,30,36
789.jpg,66,35,30,35
790.jpg,65,39,31,37
791.jpg,66,39,30,39
792.jpg,67,40,26,35
793.jpg,70,38,31,35
794.jpg,64,36,32,37
795.jpg,64,36,30,38
796.jpg,67,39,29,36
797.jpg,65,39,31,36
798.jpg,66,38,29,36
799.jpg,68,37,29,35
800.jpg,65,37,31,37
801.jpg,65,39,30,37
802.jpg,64,38,30,36
803.jpg,64,39,29,41
804.jpg,66,38,25,41
805.jpg,69,38,27,34
806.jpg,63,37,28,39
807.jpg,66,39,30,36
808.jpg,69,31,29,33
809.jpg,65,36,30,37
810.jpg,72,37,24,35
811.jpg,67,37,31,37
812.jpg,66,36,29,39
813.jpg,66,39,28,36
814.jpg,64,38,26,41
815.jpg,63,35,30,36
816.jpg,68,36,29,36
817.jpg,70,34,30,35
818.jpg,67,30,28,33
819.jpg,66,34,28,33
820.jpg,68,35,30,37
821.jpg,64,36,32,37
822.jpg,69,39,28,37
823.jpg,68,38,28,37
824.jpg,71,36,32,32
825.jpg,65,36,25,35
826.jpg,67,38,28,38
827.jpg,69,40,28,35
828.jpg,66,35,30,35
829.jpg,63,37,21,43
830.jpg,67,37,27,37
831.jpg,65,38,32,37
832.jpg,66,39,31,37
833.jpg,68,38,29,37
834.jpg,68,38,28,37
835.jpg,68,37,28,37
836.jpg,66,39,30,38
837.jpg,67,39,28,36
838.jpg,66,37,30,37
839.jpg,71,37,23,38
840.jpg,63,37,31,38
841.jpg,69,40,28,37
842.jpg,63,38,25,40
843.jpg,64,40,28,37
844.jpg,67,34,27,34
845.jpg,69,39,27,36
846.jpg,69,32,30,34
847.jpg,65,35,29,35
848.jpg,67,35,29,37
849.jpg,66,38,31,38
850.jpg,63,35,31,36
851.jpg,68,37,30,35
852.jpg,66,35,30,34
853.jpg,66,39,28,38
854.jpg,67,35,27,34
855.jpg,64,36,31,37
856.jpg,70,39,26,37
857.jpg,68,38,29,38
858.jpg,67,41,30,38
859.jpg,65,32,30,33
860.jpg,68,38,29,38
861.jpg,66,37,31,37
862.jpg,65,37,31,38
863.jpg,69,37,27,34
864.jpg,65,34,29,36
865.jpg,66,37,29,39
866.jpg,69,32,28,33
867.jpg,66,37,29,35
868.jpg,66,30,27,32
869.jpg,68,39,29,36
870.jpg,66,35,31,35
871.jpg,65,36,31,37
872.jpg,65,37,30,37
873.jpg,72,35,28,37
874.jpg,63,35,32,35
875.jpg,64,35,31,39
876.jpg,67,34,28,36
877.jpg,65,39,31,37
878.jpg,67,37,28,35
879.jpg,65,34,28,33
880.jpg,64,33,32,31
881.jpg,68,37,27,36
882.jpg,67,39,28,38
883.jpg,67,37,30,37
884.jpg,62,36,31,35
885.jpg,68,36,27,38
886.jpg,67,37,28,40
887.jpg,66,36,30,37
888.jpg,66,38,30,36
889.jpg,66,39,30,38
890.jpg,66,34,29,35
891.jpg,64,36,28,38
892.jpg,64,39,32,37
893.jpg,66,35,29,35
894.jpg,65,38,26,38
895.jpg,67,38,30,38
896.jpg,66,36,31,37
897.jpg,66,35,30,36
898.jpg,64,36,30,36
899.jpg,67,34,29,37
900.jpg,65,37,30,39
901.jpg,67,37,29,36
902.jpg,65,35,30,34
903.jpg,64,36,30,35
904.jpg,67,34,29,36
905.jpg,66,37,31,38
906.jpg,67,39,28,37
907.jpg,65,35,29,35
908.jpg,66,37,27,36
909.jpg,67,39,29,36
910.jpg,68,36,29,35
911.jpg,65,34,31,37
912.jpg,65,37,33,37
913.jpg,64,37,32,38
914.jpg,65,38,29,39
915.jpg,65,38,31,36
916.jpg,66,36,29,39
917.jpg,66,37,29,36
918.jpg,66,36,28,36
919.jpg,67,39,29,36
920.jpg,65,37,29,36
921.jpg,67,40,29,38
922.jpg,66,38,27,41
923.jpg,64,36,31,37
924.jpg,65,37,29,35
925.jpg,65,36,32,36
926.jpg,66,36,30,35
927.jpg,70,39,27,36
928.jpg,66,37,28,37
929.jpg,65,37,31,37
930.jpg,64,37,31,35
931.jpg,65,39,30,37
932.jpg,65,37,27,36
933.jpg,65,35,31,36
934.jpg,67,36,28,37
935.jpg,65,36,31,36
936.jpg,62,35,29,35
937.jpg,65,39,29,37
938.jpg,68,36,29,34
939.jpg,65,36,29,38
940.jpg,66,37,30,35
941.jpg,64,36,30,37
942.jpg,64,36,31,39
943.jpg,65,37,31,36
944.jpg,65,40,27,37
945.jpg,66,38,31,35
946.jpg,67,36,31,36
947.jpg,64,39,28,38
948.jpg,66,37,31,38
949.jpg,65,35,32,36
950.jpg,70,33,31,34
951.jpg,66,34,29,35
952.jpg,65,35,30,37
953.jpg,65,38,31,37
954.jpg,68,35,31,36
955.jpg,66,32,26,34
956.jpg,66,38,27,38
957.jpg,67,37,30,35
958.jpg,67,36,29,34
959.jpg,66,37,29,38
960.jpg,65,37,32,36
961.jpg,68,36,28,35
962.jpg,66,36,27,37
963.jpg,65,35,31,37
964.jpg,67,36,28,34
965.jpg,70,38,33,36
966.jpg,65,35,32,36
967.jpg,67,37,28,35
968.jpg,65,37,29,37
969.jpg,67,37,29,37
970.jpg,64,34,30,35
971.jpg,64,35,28,38
972.jpg,66,37,30,38
973.jpg,65,37,31,38
974.jpg,66,38,31,38
975.jpg,67,39,31,37
976.jpg,66,38,30,36
977.jpg,63,37,34,37
978.jpg,67,38,28,38
979.jpg,65,38,32,37
980.jpg,68,37,28,37
981.jpg,67,38,26,39
982.jpg,67,36,28,37
983.jpg,62,38,25,41
984.jpg,66,38,32,37
985.jpg,63,35,26,38
986.jpg,65,36,31,38
987.jpg,68,38,31,33
988.jpg,66,41,29,35
989.jpg,67,35,32,36
990.jpg,67,34,32,36
991.jpg,67,37,26,36
992.jpg,65,40,29,37
993.jpg,69,37,32,37
