filename,cell_type,xmin,xmax,ymin,ymax
14.jpg,RBC,395,514,228,329
14.jpg,RBC,520,631,396,480
14.jpg,RBC,556,640,319,404
14.jpg,RBC,522,630,254,342
14.jpg,RBC,512,620,190,278
14.jpg,RBC,534,640,58,181
14.jpg,RBC,453,593,1,71
14.jpg,Platelets,241,298,381,426
14.jpg,Platelets,110,148,247,289
14.jpg,Platelets,343,381,108,150
14.jpg,Platelets,409,447,88,130
14.jpg,RBC,301,405,211,308
14.jpg,RBC,251,355,264,361
14.jpg,RBC,27,141,1,98
14.jpg,RBC,1,91,65,160
14.jpg,RBC,57,148,62,157
14.jpg,RBC,1,94,246,370
14.jpg,RBC,407,493,193,269
15.jpg,WBC,22,330,120,360
15.jpg,RBC,353,445,343,444
15.jpg,RBC,523,640,257,379
15.jpg,RBC,539,640,364,457
15.jpg,RBC,339,475,170,278
15.jpg,RBC,66,173,1,111
16.jpg,RBC,185,321,297,404
16.jpg,RBC,305,396,370,472
16.jpg,RBC,477,582,354,459
16.jpg,RBC,376,481,307,412
16.jpg,RBC,392,497,208,313
16.jpg,RBC,302,420,44,151
16.jpg,RBC,185,303,108,231
16.jpg,RBC,373,487,133,243
16.jpg,RBC,177,298,1,109
16.jpg,RBC,52,184,22,88
16.jpg,RBC,530,640,65,147
16.jpg,RBC,543,640,116,214
16.jpg,RBC,501,596,1,67
16.jpg,RBC,374,469,1,67
16.jpg,WBC,1,192,163,366
16.jpg,Platelets,161,205,320,364
17.jpg,RBC,134,249,247,359
17.jpg,RBC,356,471,62,174
17.jpg,RBC,404,519,287,399
17.jpg,RBC,324,397,178,295
17.jpg,RBC,143,267,131,246
17.jpg,RBC,276,383,364,472
17.jpg,RBC,144,272,353,451
17.jpg,RBC,498,613,211,323
17.jpg,RBC,483,583,377,480
17.jpg,RBC,325,441,1,73
17.jpg,RBC,257,372,180,290
17.jpg,RBC,66,188,349,446
17.jpg,WBC,132,349,1,159
18.jpg,RBC,1,106,305,423
18.jpg,RBC,197,297,72,163
18.jpg,RBC,288,394,352,470
18.jpg,RBC,467,592,235,356
18.jpg,RBC,443,543,390,479
18.jpg,RBC,443,541,32,140
18.jpg,RBC,532,640,20,145
18.jpg,RBC,449,575,150,248
18.jpg,RBC,320,446,1,98
18.jpg,RBC,324,450,93,191
18.jpg,RBC,329,455,195,293
18.jpg,RBC,115,241,307,405
18.jpg,RBC,154,274,405,480
18.jpg,RBC,1,123,102,213
18.jpg,WBC,153,377,159,385
19.jpg,RBC,214,333,81,183
19.jpg,RBC,332,423,56,151
19.jpg,RBC,346,437,157,252
19.jpg,RBC,415,506,241,336
19.jpg,RBC,175,255,121,201
19.jpg,RBC,448,547,392,480
19.jpg,RBC,257,372,388,480
19.jpg,RBC,6,121,388,480
19.jpg,RBC,494,609,51,150
19.jpg,RBC,375,508,1,80
19.jpg,RBC,549,640,340,442
19.jpg,RBC,571,640,201,333
19.jpg,RBC,39,153,84,207
19.jpg,RBC,22,136,278,401
19.jpg,WBC,113,241,232,366
19.jpg,Platelets,294,338,194,234
19.jpg,Platelets,241,285,258,298
19.jpg,RBC,481,546,236,321
20.jpg,RBC,403,502,68,168
20.jpg,RBC,138,245,201,303
20.jpg,RBC,288,370,105,200
20.jpg,RBC,320,425,157,278
20.jpg,RBC,222,309,40,143
20.jpg,RBC,409,536,244,354
20.jpg,RBC,489,616,99,219
20.jpg,RBC,35,168,156,234
20.jpg,RBC,16,117,365,459
20.jpg,RBC,36,121,1,86
20.jpg,RBC,138,238,45,159
20.jpg,RBC,319,432,1,79
20.jpg,RBC,566,640,348,463
20.jpg,WBC,162,399,274,480
21.jpg,RBC,30,160,213,306
21.jpg,RBC,1,85,386,477
21.jpg,RBC,73,177,320,424
21.jpg,RBC,496,610,46,169
21.jpg,RBC,344,465,47,196
21.jpg,RBC,555,640,135,247
21.jpg,RBC,534,640,357,480
21.jpg,RBC,338,452,228,351
21.jpg,RBC,344,458,357,480
21.jpg,RBC,202,341,112,259
21.jpg,WBC,147,368,304,480
22.jpg,RBC,339,429,83,166
22.jpg,RBC,283,374,42,129
22.jpg,RBC,285,383,181,287
22.jpg,RBC,187,285,217,310
22.jpg,RBC,401,512,170,279
22.jpg,RBC,496,609,219,336
22.jpg,RBC,438,540,261,375
22.jpg,RBC,530,632,99,213
22.jpg,RBC,62,164,217,331
22.jpg,RBC,1,77,154,266
22.jpg,RBC,160,272,99,211
22.jpg,RBC,344,449,1,58
22.jpg,RBC,452,557,1,58
22.jpg,RBC,185,276,429,480
22.jpg,WBC,247,436,295,449
22.jpg,Platelets,1,25,41,82
23.jpg,RBC,329,413,386,480
23.jpg,RBC,125,223,355,451
23.jpg,RBC,1,98,331,427
23.jpg,RBC,78,176,266,362
23.jpg,RBC,24,124,1,82
23.jpg,RBC,157,272,1,104
23.jpg,RBC,283,379,1,109
23.jpg,RBC,523,625,1,62
23.jpg,RBC,524,629,100,204
23.jpg,RBC,535,640,364,468
23.jpg,RBC,349,472,273,384
23.jpg,RBC,295,418,185,296
23.jpg,RBC,32,140,157,248
23.jpg,RBC,192,313,239,349
23.jpg,WBC,326,538,36,230
24.jpg,WBC,109,324,134,321
24.jpg,RBC,432,528,242,325
24.jpg,RBC,510,606,112,195
24.jpg,RBC,482,594,361,475
24.jpg,RBC,75,166,281,375
24.jpg,RBC,38,147,1,62
24.jpg,RBC,288,390,33,131
24.jpg,RBC,411,527,66,185
24.jpg,RBC,1,102,82,198
24.jpg,RBC,1,81,283,372
24.jpg,RBC,1,78,315,397
24.jpg,RBC,391,469,373,455
24.jpg,Platelets,127,163,47,81
25.jpg,RBC,400,504,247,345
25.jpg,RBC,400,504,306,404
25.jpg,RBC,536,640,189,287
25.jpg,RBC,332,437,1,87
25.jpg,RBC,65,168,37,149
25.jpg,RBC,452,556,8,95
25.jpg,RBC,442,546,145,253
25.jpg,RBC,252,356,166,264
25.jpg,RBC,1,79,116,216
25.jpg,RBC,301,402,366,467
25.jpg,RBC,328,429,92,193
25.jpg,WBC,92,257,311,449
25.jpg,Platelets,173,209,102,138
25.jpg,Platelets,598,639,399,440
26.jpg,RBC,20,109,192,296
26.jpg,RBC,314,423,277,371
26.jpg,RBC,477,590,196,289
26.jpg,RBC,488,601,303,408
26.jpg,RBC,377,490,82,187
26.jpg,RBC,112,207,56,148
26.jpg,RBC,164,259,388,480
26.jpg,RBC,397,492,366,458
26.jpg,RBC,233,328,15,107
26.jpg,RBC,319,428,249,343
26.jpg,RBC,41,130,204,308
26.jpg,WBC,118,372,141,353
26.jpg,Platelets,121,166,359,404
27.jpg,WBC,312,453,1,92
27.jpg,Platelets,47,99,237,281
27.jpg,RBC,340,473,143,259
27.jpg,RBC,245,358,129,233
27.jpg,RBC,241,354,29,133
27.jpg,RBC,138,251,294,398
27.jpg,RBC,61,174,313,417
27.jpg,RBC,157,262,391,480
27.jpg,RBC,218,315,417,480
27.jpg,RBC,1,109,417,480
27.jpg,RBC,521,609,90,181
27.jpg,RBC,479,567,109,200
27.jpg,RBC,463,551,172,263
27.jpg,RBC,499,587,189,280
27.jpg,RBC,519,607,209,300
27.jpg,RBC,532,640,239,337
27.jpg,RBC,485,623,398,480
27.jpg,RBC,106,213,22,120
27.jpg,RBC,1,85,83,189
27.jpg,RBC,7,112,1,91
27.jpg,RBC,214,328,284,383
27.jpg,RBC,338,415,296,383
27.jpg,RBC,334,411,349,436
27.jpg,RBC,269,377,387,480
28.jpg,WBC,117,290,190,360
28.jpg,Platelets,89,131,184,221
28.jpg,Platelets,65,107,203,240
28.jpg,Platelets,333,372,1,30
28.jpg,RBC,79,202,357,459
28.jpg,RBC,495,620,1,114
28.jpg,RBC,353,476,327,463
28.jpg,RBC,449,565,319,393
28.jpg,RBC,291,403,104,194
28.jpg,RBC,211,323,76,166
28.jpg,RBC,207,319,350,440
28.jpg,RBC,253,371,298,403
28.jpg,RBC,546,639,368,480
28.jpg,RBC,482,617,223,327
28.jpg,RBC,503,619,160,246
28.jpg,RBC,373,489,142,235
28.jpg,RBC,108,235,121,216
28.jpg,RBC,16,143,59,154
29.jpg,Platelets,168,198,374,406
29.jpg,Platelets,527,564,244,282
29.jpg,Platelets,565,602,383,421
29.jpg,WBC,307,528,174,387
30.jpg,RBC,99,217,391,471
30.jpg,RBC,121,252,275,388
30.jpg,RBC,106,236,19,136
30.jpg,RBC,213,336,63,178
30.jpg,RBC,511,623,294,410
30.jpg,RBC,461,567,320,413
30.jpg,RBC,400,491,339,433
30.jpg,RBC,343,419,341,433
30.jpg,RBC,295,375,344,443
30.jpg,RBC,290,404,241,335
30.jpg,RBC,429,543,187,281
30.jpg,RBC,120,248,143,270
30.jpg,WBC,1,81,291,450
31.jpg,RBC,233,338,368,452
31.jpg,RBC,346,456,385,476
31.jpg,RBC,241,351,73,164
31.jpg,RBC,250,366,1,85
31.jpg,RBC,106,226,315,428
31.jpg,RBC,289,394,160,244
31.jpg,RBC,350,455,109,193
31.jpg,RBC,104,209,20,104
31.jpg,RBC,1,108,221,322
31.jpg,RBC,582,639,379,480
31.jpg,RBC,457,562,372,456
31.jpg,RBC,563,640,20,113
31.jpg,RBC,304,400,262,387
31.jpg,Platelets,239,291,275,321
31.jpg,Platelets,121,189,260,320
31.jpg,Platelets,57,104,119,167
31.jpg,Platelets,1,29,286,327
31.jpg,WBC,367,611,166,394
32.jpg,RBC,93,212,64,157
32.jpg,RBC,1,93,1,141
32.jpg,RBC,15,110,375,475
32.jpg,RBC,264,397,223,333
32.jpg,RBC,1,133,204,314
32.jpg,RBC,477,610,292,402
32.jpg,RBC,422,522,207,311
32.jpg,RBC,446,546,376,480
32.jpg,RBC,216,332,99,201
32.jpg,RBC,110,226,293,395
32.jpg,WBC,257,380,335,456
33.jpg,RBC,427,533,87,181
33.jpg,RBC,399,506,169,270
33.jpg,RBC,429,538,1,78
33.jpg,RBC,39,144,95,201
33.jpg,RBC,283,401,328,435
33.jpg,RBC,418,536,260,367
33.jpg,RBC,1,72,168,254
33.jpg,RBC,22,146,283,377
33.jpg,WBC,194,385,150,349
33.jpg,Platelets,500,556,189,234
34.jpg,RBC,381,494,274,367
34.jpg,RBC,435,554,156,274
34.jpg,RBC,347,455,96,204
34.jpg,RBC,282,386,150,243
34.jpg,RBC,343,447,1,93
34.jpg,RBC,355,466,379,480
34.jpg,RBC,220,330,407,480
34.jpg,RBC,448,560,1,107
34.jpg,RBC,547,640,334,442
34.jpg,RBC,173,266,63,171
34.jpg,RBC,54,147,73,181
34.jpg,RBC,10,103,126,234
34.jpg,WBC,28,255,223,407
35.jpg,RBC,146,273,333,459
35.jpg,RBC,211,316,247,360
35.jpg,RBC,79,208,145,264
35.jpg,RBC,466,555,231,320
35.jpg,WBC,227,399,10,153
35.jpg,RBC,264,351,248,352
36.jpg,RBC,237,325,344,436
36.jpg,RBC,148,236,177,269
36.jpg,RBC,475,597,343,465
36.jpg,RBC,267,354,221,325
36.jpg,RBC,42,136,63,152
36.jpg,WBC,339,500,219,364
36.jpg,Platelets,250,283,80,117
37.jpg,RBC,144,242,346,436
37.jpg,RBC,1,82,72,160
37.jpg,RBC,107,203,1,65
37.jpg,RBC,200,311,1,86
37.jpg,RBC,71,182,77,163
37.jpg,RBC,35,127,252,356
37.jpg,RBC,75,146,295,386
37.jpg,RBC,29,129,350,457
37.jpg,RBC,209,309,108,215
37.jpg,RBC,477,561,134,218
37.jpg,WBC,240,438,219,393
38.jpg,RBC,359,459,101,216
38.jpg,RBC,394,509,365,463
38.jpg,RBC,425,545,172,288
38.jpg,RBC,459,575,290,372
38.jpg,RBC,57,154,390,480
38.jpg,RBC,1,97,233,330
38.jpg,RBC,1,97,127,224
38.jpg,RBC,271,395,21,133
38.jpg,RBC,185,292,110,220
38.jpg,RBC,86,193,88,198
38.jpg,RBC,112,219,33,143
38.jpg,RBC,564,640,174,274
38.jpg,RBC,99,194,212,308
38.jpg,WBC,179,401,174,395
39.jpg,RBC,251,353,167,275
39.jpg,RBC,345,447,221,329
39.jpg,RBC,251,353,252,360
39.jpg,RBC,148,250,160,268
39.jpg,RBC,437,556,363,480
39.jpg,RBC,509,613,242,344
39.jpg,RBC,544,640,1,79
39.jpg,RBC,29,131,167,275
39.jpg,RBC,457,545,246,349
39.jpg,RBC,1,74,1,131
39.jpg,WBC,166,325,6,114
40.jpg,RBC,471,592,11,130
40.jpg,RBC,552,640,200,318
40.jpg,RBC,520,632,312,430
40.jpg,RBC,58,171,260,375
40.jpg,RBC,336,443,158,256
40.jpg,RBC,84,191,379,477
40.jpg,RBC,227,341,320,429
40.jpg,RBC,1,59,327,431
40.jpg,RBC,376,453,310,407
40.jpg,Platelets,135,302,1,117
41.jpg,RBC,404,511,253,356
41.jpg,RBC,278,385,300,403
41.jpg,RBC,501,608,170,273
41.jpg,RBC,86,193,1,124
41.jpg,WBC,255,406,187,321
41.jpg,Platelets,507,566,265,334
42.jpg,RBC,184,287,105,227
42.jpg,RBC,75,186,85,204
42.jpg,RBC,291,407,195,333
42.jpg,RBC,500,609,313,417
42.jpg,RBC,269,366,54,155
42.jpg,RBC,128,222,1,72
42.jpg,RBC,479,576,172,273
42.jpg,RBC,508,626,28,143
42.jpg,RBC,1,90,170,279
42.jpg,RBC,415,501,322,417
42.jpg,RBC,387,484,96,197
42.jpg,WBC,143,340,313,480
43.jpg,RBC,166,284,236,336
43.jpg,RBC,32,153,194,313
43.jpg,RBC,135,236,340,442
43.jpg,RBC,51,152,304,406
43.jpg,RBC,558,640,157,254
43.jpg,RBC,446,541,102,196
43.jpg,RBC,255,370,1,110
43.jpg,RBC,73,195,43,160
43.jpg,RBC,150,231,150,230
43.jpg,RBC,561,640,383,480
43.jpg,WBC,415,606,224,400
44.jpg,RBC,452,587,200,308
44.jpg,RBC,357,465,319,420
44.jpg,RBC,295,403,379,480
44.jpg,RBC,108,216,222,323
44.jpg,RBC,197,305,379,480
44.jpg,RBC,440,548,24,125
44.jpg,RBC,362,470,1,100
44.jpg,RBC,575,640,269,366
44.jpg,RBC,290,355,113,210
44.jpg,RBC,226,331,293,382
44.jpg,RBC,1,107,357,473
44.jpg,Platelets,479,519,290,326
44.jpg,WBC,9,137,1,103
45.jpg,RBC,115,206,358,446
45.jpg,RBC,1,79,315,401
45.jpg,RBC,402,486,305,414
45.jpg,RBC,388,467,43,143
45.jpg,RBC,564,640,1,77
45.jpg,RBC,248,346,382,480
45.jpg,RBC,337,402,411,480
45.jpg,RBC,140,242,171,255
45.jpg,RBC,50,152,192,276
45.jpg,RBC,356,462,148,249
45.jpg,RBC,298,406,128,236
45.jpg,RBC,534,640,243,344
45.jpg,Platelets,70,112,38,94
45.jpg,Platelets,361,419,12,56
45.jpg,WBC,100,307,1,144
46.jpg,RBC,185,294,138,236
46.jpg,RBC,273,382,155,253
46.jpg,RBC,430,539,227,325
46.jpg,RBC,522,631,153,251
46.jpg,RBC,325,434,254,352
46.jpg,RBC,294,403,305,403
46.jpg,RBC,347,456,28,126
46.jpg,RBC,459,568,91,189
46.jpg,RBC,330,439,372,470
46.jpg,WBC,210,342,3,115
47.jpg,RBC,344,448,274,392
47.jpg,RBC,416,572,371,461
47.jpg,RBC,417,504,176,277
47.jpg,RBC,472,581,175,275
47.jpg,RBC,340,444,38,156
47.jpg,WBC,40,222,41,206
47.jpg,Platelets,266,317,191,228
48.jpg,RBC,369,470,40,152
48.jpg,RBC,473,574,156,268
48.jpg,RBC,446,569,278,386
48.jpg,RBC,534,640,364,462
48.jpg,RBC,405,511,371,480
48.jpg,RBC,559,640,97,204
48.jpg,RBC,469,562,1,89
48.jpg,RBC,277,352,343,453
48.jpg,RBC,209,329,352,443
48.jpg,RBC,96,201,345,455
48.jpg,RBC,374,465,143,225
48.jpg,RBC,183,283,27,120
48.jpg,RBC,41,141,201,294
48.jpg,RBC,106,203,10,119
48.jpg,RBC,26,139,94,209
48.jpg,WBC,117,361,138,377
49.jpg,RBC,64,174,264,351
49.jpg,RBC,387,496,92,212
49.jpg,RBC,522,631,208,328
49.jpg,RBC,1,92,42,162
49.jpg,RBC,76,193,67,183
49.jpg,RBC,57,174,138,254
49.jpg,RBC,1,104,346,454
49.jpg,RBC,309,419,1,87
49.jpg,Platelets,19,70,226,272
49.jpg,Platelets,182,232,213,253
49.jpg,Platelets,31,73,1,28
49.jpg,WBC,225,531,217,480
50.jpg,RBC,316,426,11,121
50.jpg,RBC,470,580,100,210
50.jpg,RBC,58,138,69,178
50.jpg,RBC,425,526,220,328
50.jpg,RBC,74,192,324,422
50.jpg,RBC,203,302,1,72
50.jpg,RBC,492,578,413,480
50.jpg,RBC,322,440,256,366
50.jpg,WBC,111,420,106,362
51.jpg,WBC,108,281,194,372
51.jpg,Platelets,99,138,329,360
51.jpg,Platelets,149,188,1,30
51.jpg,Platelets,394,433,199,230
51.jpg,RBC,17,130,163,255
51.jpg,RBC,1,113,197,289
51.jpg,RBC,289,392,142,234
51.jpg,RBC,340,443,81,173
51.jpg,RBC,275,392,22,126
51.jpg,RBC,441,579,59,163
51.jpg,RBC,471,579,143,263
51.jpg,RBC,557,639,359,480
51.jpg,RBC,406,538,374,480
51.jpg,RBC,272,389,389,480
51.jpg,RBC,378,482,249,349
51.jpg,RBC,15,100,12,147
52.jpg,RBC,314,424,316,422
52.jpg,RBC,425,552,292,403
52.jpg,RBC,407,539,400,480
52.jpg,RBC,289,418,174,283
52.jpg,RBC,139,268,60,169
52.jpg,RBC,265,363,49,149
52.jpg,RBC,341,442,88,180
52.jpg,RBC,543,640,1,104
52.jpg,RBC,543,640,118,222
52.jpg,RBC,453,564,179,297
52.jpg,RBC,167,278,386,480
52.jpg,RBC,92,204,309,420
52.jpg,RBC,86,198,202,313
52.jpg,WBC,190,309,244,370
52.jpg,Platelets,1,26,28,70
53.jpg,RBC,507,609,63,180
53.jpg,RBC,426,528,383,480
53.jpg,RBC,186,290,54,174
53.jpg,RBC,108,228,1,104
53.jpg,RBC,1,114,1,96
53.jpg,RBC,314,428,5,101
53.jpg,RBC,61,165,261,359
53.jpg,RBC,98,192,393,480
53.jpg,Platelets,524,574,357,398
53.jpg,Platelets,209,242,310,347
53.jpg,WBC,242,466,87,301
53.jpg,RBC,287,396,383,480
53.jpg,RBC,517,620,405,474
54.jpg,RBC,220,326,222,315
54.jpg,RBC,363,471,4,122
54.jpg,RBC,422,507,150,252
54.jpg,RBC,256,362,4,109
54.jpg,RBC,116,261,128,238
54.jpg,RBC,379,494,288,390
54.jpg,RBC,86,163,232,309
54.jpg,RBC,62,161,376,470
54.jpg,RBC,101,210,29,141
54.jpg,RBC,250,358,126,227
54.jpg,RBC,175,272,368,480
54.jpg,WBC,265,490,334,480
55.jpg,RBC,469,580,40,130
55.jpg,RBC,375,488,55,154
55.jpg,RBC,299,412,223,322
55.jpg,RBC,477,578,239,328
55.jpg,RBC,549,640,150,268
55.jpg,RBC,405,519,165,281
55.jpg,RBC,43,156,350,449
55.jpg,RBC,85,192,1,96
55.jpg,RBC,249,372,352,459
55.jpg,RBC,420,544,340,468
55.jpg,WBC,73,304,63,283
55.jpg,Platelets,336,371,136,167
56.jpg,RBC,389,486,158,248
56.jpg,RBC,500,598,373,465
56.jpg,RBC,297,393,155,255
56.jpg,RBC,393,500,3,104
56.jpg,RBC,259,354,166,268
56.jpg,RBC,262,362,286,411
56.jpg,RBC,102,216,48,159
56.jpg,RBC,37,151,148,237
56.jpg,RBC,34,125,229,307
56.jpg,RBC,214,309,62,170
56.jpg,RBC,60,164,355,458
56.jpg,WBC,363,519,251,421
57.jpg,RBC,199,291,69,173
57.jpg,RBC,1,92,117,221
57.jpg,RBC,80,214,1,122
57.jpg,RBC,195,292,171,287
57.jpg,RBC,205,304,404,479
57.jpg,RBC,101,226,324,437
57.jpg,RBC,467,566,135,236
57.jpg,RBC,521,640,198,319
57.jpg,RBC,374,475,201,303
57.jpg,RBC,306,429,378,480
57.jpg,RBC,348,461,47,155
57.jpg,Platelets,512,550,79,119
57.jpg,WBC,424,639,308,480
58.jpg,RBC,143,243,95,213
58.jpg,RBC,173,265,194,304
58.jpg,RBC,71,166,11,113
58.jpg,RBC,431,526,32,134
58.jpg,RBC,490,585,32,134
58.jpg,RBC,440,535,144,246
58.jpg,RBC,527,622,161,263
58.jpg,RBC,417,524,246,354
58.jpg,RBC,378,485,302,410
58.jpg,RBC,46,137,207,309
58.jpg,RBC,54,165,360,466
58.jpg,RBC,512,614,327,419
58.jpg,WBC,221,415,36,225
58.jpg,Platelets,351,382,317,349
58.jpg,Platelets,37,72,166,203
59.jpg,WBC,278,405,11,149
59.jpg,Platelets,392,416,36,60
60.jpg,RBC,35,150,377,479
60.jpg,RBC,463,578,119,221
60.jpg,RBC,297,364,126,199
60.jpg,RBC,57,144,293,379
60.jpg,RBC,34,121,103,189
60.jpg,RBC,314,401,1,85
60.jpg,RBC,354,441,386,472
60.jpg,WBC,268,472,195,378
60.jpg,Platelets,142,175,53,80
60.jpg,RBC,158,281,273,378
61.jpg,RBC,400,497,48,176
61.jpg,RBC,520,621,188,293
61.jpg,RBC,470,577,1,88
61.jpg,RBC,139,247,179,275
61.jpg,RBC,194,303,348,462
61.jpg,RBC,344,446,362,454
61.jpg,RBC,134,242,270,366
